22DUNK___SPA	30	-1	-1	30	和歌山県	GIGANT	651	和歌山県	GIGANT	651
5.1.1.___SPA	30	-1	-1	30	韓国	DOOM	1590	韓国	DOOM	1590
deep in you___SPA	30	-1	-1	30	東京都	MLIKO.	713	東京都	MLIKO.	713
GENOM SCREAMS___SPA	30	-1	-1	30	和歌山県	GIGANT	1065	和歌山県	GIGANT	1065
gentle stress___SPA	30	-1	-1	30	福岡県	RV*B.L	1535	福岡県	RV*B.L	1535
GRADIUSIC CYBER___SPA	30	-1	-1	30	愛知県	KUREI	1219	愛知県	KUREI	1219
Macho Gang___SPA	30	-1	-1	30	東京都	MLIKO.	1598	東京都	MLIKO.	1598
PARANOIA MAX～DIRTY MIX～___SPA	30	-1	-1	30	和歌山県	GIGANT	1132	和歌山県	GIGANT	1132
R3___SPA	30	-1	-1	30	滋賀県	AAAAAA	914	滋賀県	AAAAAA	914
RUGGED ASH___SPA	30	-1	-1	30	大阪府	CAZ	1214	大阪府	CAZ	1214
RUGGED ASH___SPL	30	-1	-1	30	東京都	3234	2292	東京都	3234	2292
THE EARTH LIGHT___SPA	30	-1	-1	30	和歌山県	GIGANT	1136	和歌山県	GIGANT	1136
.59___SPA	30	-1	-1	30	福島県	LUCY*S	1157	福島県	LUCY*S	1157
era (nostalmix)___SPA	30	-1	-1	30	兵庫県	QJITAI	2306	兵庫県	QJITAI	2306
Holic___SPA	30	-1	-1	30	韓国	SILLYB	2149	韓国	SILLYB	2149
LEADING CYBER___SPA	30	-1	-1	30	和歌山県	GIGANT	1274	和歌山県	GIGANT	1274
R5___SPA	30	-1	-1	30	東京都	JAGAO0	1730	東京都	JAGAO0	1730
REINCARNATION___SPA	30	-1	-1	30	大阪府	CAZ	1272	大阪府	CAZ	1272
Schlagwerk___SPA	30	-1	-1	30	滋賀県	AAAAAA	2145	滋賀県	AAAAAA	2145
250bpm___SPA	30	-1	-1	30	和歌山県	GIGANT	1303	和歌山県	GIGANT	1303
ABSOLUTE___SPA	30	-1	-1	30	東京都	31NO71	2582	東京都	31NO71	2582
ABSOLUTE___SPL	30	-1	-1	30	岩手県	TOHOKU	2855	岩手県	TOHOKU	2855
Broken My Heart___SPA	30	-1	-1	30	神奈川県	MILLA	1776	神奈川県	MILLA	1776
Burnin' The Floor___SPA	30	-1	-1	30	和歌山県	GIGANT	1445	和歌山県	GIGANT	1445
CHECKING YOU OUT___SPA	30	-1	-1	30	福岡県	RV*B.L	1344	福岡県	RV*B.L	1344
Clione___SPA	30	-1	-1	30	韓国	DOOM	1994	韓国	DOOM	1994
Clione___SPL	30	-1	-1	30	東京都	MLIKO.	2355	東京都	MLIKO.	2355
DXY!___SPA	30	-1	-1	30	東京都	MLIKO.	2798	東京都	MLIKO.	2798
era (step mix)___SPA	30	-1	-1	30	兵庫県	QJITAI	2301	兵庫県	QJITAI	2301
HIGHER___SPA	30	-1	-1	30	韓国	ALIEN	1216	韓国	ALIEN	1216
Hitch Hiker2___SPA	30	-1	-1	30	和歌山県	GIGANT	1715	和歌山県	GIGANT	1715
Hitch Hiker2___SPL	30	-1	-1	30	韓国	ALIEN	1934	韓国	ALIEN	1934
KAMIKAZE___SPA	30	-1	-1	30	韓国	ALIEN	2295	韓国	ALIEN	2295
LOVE WILL・・・___SPA	30	-1	-1	30	韓国	ALIEN	1452	韓国	ALIEN	1452
minimalian___SPA	30	-1	-1	30	東京都	MLIKO.	1991	東京都	MLIKO.	1991
