22DUNK___SPN	佐賀県	INSUKE	494
22DUNK___SPH	佐賀県	KKR*	624
22DUNK___SPA	佐賀県	SATUKI	619
5.1.1.___SPN	佐賀県	HF	195
5.1.1.___SPH	佐賀県	HOLIC	989
5.1.1.___SPA	佐賀県	SAGE.M	1559
deep in you___SPN	佐賀県	INSUKE	471
deep in you___SPH	佐賀県	FR.SUU	465
deep in you___SPA	佐賀県	KKR*	635
Dr.LOVE___SPN	佐賀県	INSUKE	390
Dr.LOVE___SPH	佐賀県	FR.SUU	471
Dr.LOVE___SPA	佐賀県	KKR*	551
GAMBOL___SPN	佐賀県	FR.SUU	259
GAMBOL___SPH	佐賀県	SATUKI	264
GENOM SCREAMS___SPN	佐賀県	FR.SUU	389
GENOM SCREAMS___SPH	佐賀県	FR.SUU	563
GENOM SCREAMS___SPA	佐賀県	R	1002
gentle stress___SPN	佐賀県	INSUKE	337
gentle stress___SPH	佐賀県	SH!N	617
gentle stress___SPA	佐賀県	R41C	1408
GRADIUSIC CYBER___SPN	佐賀県	FR.SUU	781
GRADIUSIC CYBER___SPH	佐賀県	FR.SUU	798
GRADIUSIC CYBER___SPA	佐賀県	KKR*	1135
KEEP ON MOVIN'___SPN	佐賀県	INSUKE	188
KEEP ON MOVIN'___SPH	佐賀県	SAGE.M	243
Macho Gang___SPN	佐賀県	FR.SUU	366
Macho Gang___SPH	佐賀県	SINKER	549
Macho Gang___SPA	佐賀県	BR-OJI	1456
PARANOIA MAX～DIRTY MIX～___SPN	佐賀県	97....	518
PARANOIA MAX～DIRTY MIX～___SPH	佐賀県	FR.SUU	646
PARANOIA MAX～DIRTY MIX～___SPA	佐賀県	R41C	1074
R3___SPN	佐賀県	INSUKE	625
R3___SPH	佐賀県	KKR*	704
R3___SPA	佐賀県	SATUKI	853
RUGGED ASH___SPN	佐賀県	FR.SUU	359
RUGGED ASH___SPH	佐賀県	INSUKE	386
RUGGED ASH___SPA	佐賀県	HF	1044
RUGGED ASH___SPL	佐賀県	OTM	1896
THE EARTH LIGHT___SPN	佐賀県	INSUKE	748
THE EARTH LIGHT___SPH	佐賀県	INSUKE	911
THE EARTH LIGHT___SPA	佐賀県	R	1097
.59___SPN	佐賀県	SH!N	636
.59___SPH	佐賀県	FR.SUU	838
.59___SPA	佐賀県	R41C	1100
Digital MinD(A/T Libra mix)___SPN	佐賀県	INSUKE	697
Digital MinD(A/T Libra mix)___SPA	佐賀県	SATUKI	1057
Electro Tuned(the SubS mix)___SPN	佐賀県	SH!N	698
Electro Tuned(the SubS mix)___SPA	佐賀県	SATUKI	1032
I Was The One___SPN	佐賀県	INSUKE	513
I Was The One___SPH	佐賀県	FR.SUU	607
I Was The One___SPA	佐賀県	SATUKI	665
Indigo Vision(full flavour hide around mix)___SPN	佐賀県	INSUKE	816
Indigo Vision(full flavour hide around mix)___SPH	佐賀県	SINKER	812
Indigo Vision(full flavour hide around mix)___SPA	佐賀県	KKR*	1133
PUT YOUR FAITH IN ME(for beatmania II)___SPN	佐賀県	INSUKE	558
PUT YOUR FAITH IN ME(for beatmania II)___SPH	佐賀県	SAGE.M	857
SP-TRIP MACHINE(for beatmania II)___SPN	佐賀県	INSUKE	501
SP-TRIP MACHINE(for beatmania II)___SPH	佐賀県	FR.SUU	460
SP-TRIP MACHINE(for beatmania II)___SPA	佐賀県	SATUKI	625
CAN'T STOP FALLIN'IN LOVE___SPN	佐賀県	INSUKE	595
CAN'T STOP FALLIN'IN LOVE___SPH	佐賀県	ELDEW	1176
Don't Stop!___SPN	佐賀県	FR.SUU	752
Don't Stop!___SPH	佐賀県	FR.SUU	772
Don't Stop!___SPA	佐賀県	SATUKI	879
era (nostalmix)___SPN	佐賀県	SH!N	791
era (nostalmix)___SPH	佐賀県	SAGE.M	1064
era (nostalmix)___SPA	佐賀県	AAAAAA	1418
Holic___SPN	佐賀県	ACTY-7	718
Holic___SPH	佐賀県	SINKER	877
Holic___SPA	佐賀県	SAGE.M	1668
LEADING CYBER___SPN	佐賀県	97....	764
LEADING CYBER___SPH	佐賀県	MALOV	545
LEADING CYBER___SPA	佐賀県	KKR*	1179
Presto___SPN	佐賀県	INSUKE	514
Presto___SPH	佐賀県	BR-OJI	933
Presto___SPA	佐賀県	KKR*	959
R5___SPN	佐賀県	SH!N	691
R5___SPH	佐賀県	INSUKE	1129
R5___SPA	佐賀県	AUD*25	1729
REINCARNATION___SPN	佐賀県	FR.SUU	747
REINCARNATION___SPH	佐賀県	ASDF.	655
REINCARNATION___SPA	佐賀県	KKR*	1193
Schlagwerk___SPN	佐賀県	SH!N	758
Schlagwerk___SPH	佐賀県	PENTA	1141
Schlagwerk___SPA	佐賀県	SAGE.M	1677
Skyscraper___SPN	佐賀県	SH!N	651
Skyscraper___SPH	佐賀県	1108	849
Skyscraper___SPA	佐賀県	KKR*	1176
Tangerine Stream___SPN	佐賀県	INSUKE	276
Tangerine Stream___SPH	佐賀県	SATUKI	388
THE SAFARI___SPB	佐賀県	SATUKI	347
THE SAFARI___SPN	佐賀県	SH!N	1104
THE SAFARI___SPH	佐賀県	AAAAAA	1672
250bpm___SPN	佐賀県	INSUKE	657
250bpm___SPH	佐賀県	SATUKI	948
250bpm___SPA	佐賀県	SAGE.M	1409
ABSOLUTE___SPN	佐賀県	FR.SUU	1209
ABSOLUTE___SPH	佐賀県	INSUKE	1710
ABSOLUTE___SPA	佐賀県	CROWN	2239
ABSOLUTE___SPL	佐賀県	SAGE.M	2690
B4U___SPN	佐賀県	SH!N	932
B4U___SPH	佐賀県	INSUKE	1348
B4U___SPA	佐賀県	KKR*	1857
Broken My Heart___SPN	佐賀県	SH!N	793
Broken My Heart___SPH	佐賀県	QMAP	1275
Broken My Heart___SPA	佐賀県	KKR*	1734
Burnin' The Floor___SPN	佐賀県	INSUKE	564
Burnin' The Floor___SPH	佐賀県	1108	728
Burnin' The Floor___SPA	佐賀県	R41C	1381
CHECKING YOU OUT___SPN	佐賀県	INSUKE	597
CHECKING YOU OUT___SPH	佐賀県	INSUKE	727
CHECKING YOU OUT___SPA	佐賀県	BR-OJI	1224
Clione___SPN	佐賀県	INSUKE	506
Clione___SPH	佐賀県	YM	377
Clione___SPA	佐賀県	HOLIC	1544
Clione___SPL	佐賀県	SAGE.M	2138
DXY!___SPN	佐賀県	OZAWA	1094
DXY!___SPH	佐賀県	CROWN	1746
DXY!___SPA	佐賀県	JI-KO	2051
empathy___SPN	佐賀県	SH!N	730
empathy___SPH	佐賀県	1108	939
empathy___SPA	佐賀県	R41C	1366
era (step mix)___SPN	佐賀県	INSUKE	1042
era (step mix)___SPH	佐賀県	SILO89	1259
era (step mix)___SPA	佐賀県	R	1605
FLOWERS for ALBION___SPN	佐賀県	INSUKE	227
FLOWERS for ALBION___SPH	佐賀県	SATUKI	419
HIGHER___SPN	佐賀県	INSUKE	520
HIGHER___SPH	佐賀県	THAA	433
HIGHER___SPA	佐賀県	SATUKI	1237
Hitch Hiker2___SPN	佐賀県	INSUKE	793
Hitch Hiker2___SPH	佐賀県	HIRAKO	223
Hitch Hiker2___SPA	佐賀県	ELDEW	1249
Hitch Hiker2___SPL	佐賀県	AAAAAA	1815
Jam&Marmalade___SPN	佐賀県	FR.SUU	641
Jam&Marmalade___SPH	佐賀県	SINKER	691
Jam&Marmalade___SPA	佐賀県	KKR*	963
KAMIKAZE___SPN	佐賀県	KRM*	907
KAMIKAZE___SPH	佐賀県	KARASU	1308
KAMIKAZE___SPA	佐賀県	SAGE.M	2279
LOVE WILL・・・___SPN	佐賀県	INSUKE	533
LOVE WILL・・・___SPH	佐賀県	FR.SUU	699
LOVE WILL・・・___SPA	佐賀県	BR-OJI	1418
minimalian___SPN	佐賀県	INSUKE	515
minimalian___SPH	佐賀県	INSUKE	1027
minimalian___SPA	佐賀県	KKR*	1320
Mr.T.(take me higher)___SPN	佐賀県	SH!N	757
Mr.T.(take me higher)___SPH	佐賀県	FR.SUU	849
Mr.T.(take me higher)___SPA	佐賀県	CL	1677
starmine___SPB	佐賀県	INSUKE	428
starmine___SPN	佐賀県	FR.SUU	831
starmine___SPH	佐賀県	INSUKE	1311
starmine___SPA	佐賀県	KKR*	1491
SWEET LAB___SPN	佐賀県	INSUKE	521
SWEET LAB___SPH	佐賀県	SATUKI	914
SWEET LAB___SPA	佐賀県	SAGE.M	1351
Voltage (feat. Hidemaru)___SPN	佐賀県	FR.SUU	649
Voltage (feat. Hidemaru)___SPH	佐賀県	SATUKI	1150
Voltage (feat. Hidemaru)___SPA	佐賀県	SAGE.M	1290
Abyss___SPN	佐賀県	INSUKE	1209
Abyss___SPH	佐賀県	SAGE.P	1573
Abyss___SPA	佐賀県	R	1797
in my eyes___SPN	佐賀県	FR.SUU	863
in my eyes___SPA	佐賀県	BR-OJI	1483
LOVE AGAIN TONIGHT～for Mellisa mix～___SPN	佐賀県	INSUKE	729
LOVE AGAIN TONIGHT～for Mellisa mix～___SPH	佐賀県	FR.SUU	861
LOVE AGAIN TONIGHT～for Mellisa mix～___SPA	佐賀県	BR-OJI	1087
outer wall___SPN	佐賀県	FR.SUU	781
outer wall___SPA	佐賀県	SAGE.M	1748
QQQ___SPN	佐賀県	FR.SUU	1027
QQQ___SPH	佐賀県	INSUKE	1777
QQQ___SPA	佐賀県	SAGE.M	2145
Radical Faith___SPN	佐賀県	E!	1131
Radical Faith___SPH	佐賀県	ASDF.	947
Radical Faith___SPA	佐賀県	KKR*	1234
Real___SPN	佐賀県	INSUKE	1046
Real___SPH	佐賀県	HF	1559
Real___SPA	佐賀県	AAAAAA	1676
Regulus___SPN	佐賀県	FR.SUU	644
Regulus___SPH	佐賀県	BR-OJI	1023
Regulus___SPA	佐賀県	KKR*	1585
RIDE ON THE LIGHT (HI GREAT MIX)___SPN	佐賀県	INSUKE	869
RIDE ON THE LIGHT (HI GREAT MIX)___SPH	佐賀県	AKO	902
RIDE ON THE LIGHT (HI GREAT MIX)___SPA	佐賀県	EKA-	1616
RIDE ON THE LIGHT (HI GREAT MIX)___SPL	佐賀県	AAAAAA	1737
RISLIM___SPN	佐賀県	INSUKE	892
RISLIM___SPH	佐賀県	SAGE.M	1221
sometime___SPN	佐賀県	INSUKE	760
sometime___SPH	佐賀県	QMAP	941
sometime___SPA	佐賀県	INSUKE	1242
Spin the disc___SPN	佐賀県	97....	690
Spin the disc___SPH	佐賀県	SINKER	727
Spin the disc___SPA	佐賀県	SAGE.M	1327
STILL IN MY HEART___SPN	佐賀県	INSUKE	943
STILL IN MY HEART___SPH	佐賀県	YU	819
STILL IN MY HEART___SPA	佐賀県	R	1785
still my words___SPN	佐賀県	INSUKE	891
still my words___SPH	佐賀県	ELDEW	1167
sync___SPN	佐賀県	SH!N	967
sync___SPH	佐賀県	INSUKE	1740
sync___SPA	佐賀県	SAGE.M	2353
THE CUBE___SPN	佐賀県	INSUKE	726
THE CUBE___SPH	佐賀県	ECO.G	1201
THE CUBE___SPA	佐賀県	KKR*	1251
THE SHINING POLARIS___SPN	佐賀県	FR.SUU	714
THE SHINING POLARIS___SPH	佐賀県	SINKER	791
THE SHINING POLARIS___SPA	佐賀県	AMT*25	1519
V___SPB	佐賀県	INSUKE	336
V___SPN	佐賀県	SATUKI	1251
V___SPH	佐賀県	R	2413
V___SPA	佐賀県	SAGE.M	2929
19,November___SPN	佐賀県	FR.SUU	910
19,November___SPH	佐賀県	GENSHI	592
19,November___SPA	佐賀県	KKR*	1699
BALLAD FOR YOU～想いの雨～___SPN	佐賀県	INSUKE	561
BALLAD FOR YOU～想いの雨～___SPH	佐賀県	INSUKE	742
BALLAD FOR YOU～想いの雨～___SPA	佐賀県	KKR*	1051
Blueberry Stream___SPN	佐賀県	INSUKE	801
Blueberry Stream___SPH	佐賀県	HF	1352
Blueberry Stream___SPA	佐賀県	CROWN	1513
Buffalo___SPN	佐賀県	INSUKE	947
Buffalo___SPH	佐賀県	INSUKE	1365
Buffalo___SPA	佐賀県	SAGE.M	1782
Buffalo___SPL	佐賀県	R41C	2376
Colors (radio edit)___SPN	佐賀県	KEI	1037
Colors (radio edit)___SPH	佐賀県	INSUKE	1660
Colors (radio edit)___SPA	佐賀県	SAGE.M	2352
DIVE ～INTO YOUR HEART～___SPN	佐賀県	INSUKE	1226
DIVE ～INTO YOUR HEART～___SPH	佐賀県	INSUKE	1671
DIVE ～INTO YOUR HEART～___SPA	佐賀県	SAGE.M	2073
fly through the night___SPN	佐賀県	INSUKE	855
fly through the night___SPH	佐賀県	AKO	1079
fly through the night___SPA	佐賀県	KKR*	1566
